id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
996,Startect Dual Active Oral Solution for Sheep ,42058/5099,"Abamectin, Derquantel",,POM-VPS,Oral solution,Anthelmintic,,,,,
32,Chanaverm 7.5% Oral Solution,11990/4002,Levamisole Hydrochloride,,POM-VPS,Oral solution,Anthelmintic,,,,,
95,Chanazine 2% Solution for Injection ,11990/4005,Xylazine,,POM-V,Solution for injection,Neurological Agent sedative,,,,,
106,Bovex 2.265% w/v Oral Suspension for Cattle and Sheep,11990/4008,Oxfendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
126,Albex 2.5% w/v SC Oral Suspension,11990/4015,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
129,Albex 10% w/v Oral Suspension,11990/4016,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
828,Zulvac SBV,42058/5092,Schmallenberg virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
993,Draxxin Plus 100 mg/ml + 120 mg/ml Solution for Injection for Cattle,42058/5100,"Ketoprofen, Tulathromycin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,,,,,
984,Scabigard,42058/4213,Orf virus,,POM-V,Solution for injection,Live Viral Vaccine,,,,,
888,"Contacera 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",42058/5015,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
306,Tribex 5% Oral Suspension for Sheep,11990/4033,Triclabendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
402,Animec Super 10 mg/ml / 100 mg/ml Solution for Injection for Cattle,11990/4054,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
697,"Oxytocin-S, 10 iu/ml, Solution for Injection",43877/4012,Oxytocin Synthetic,,POM-V,Solution for injection,Hormone,,,,,
748,Draxxin Plus 100 mg/ml + 120 mg/ml Solution for Injection for Cattle,42058/4211,"Ketoprofen, Tulathromycin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,,,,,
88,Imaverol 100 mg/ml Concentrate for Cutaneous Emulsion,44684/4003,Enilconazole,,POM-VPS,Cutaneous emulsion,Antimycotic,,,,,
440,"Dinalgen 150 mg/ml Solution for Injection for Cattle, Pigs and Horses",46037/4003,Ketoprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
128,Endospec SC 2.5% w/v Oral Suspension,50146/4030,Albendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
212,"Gold Fleece Sheep Dip, 608 mg/ml Concentrate for Dip Emulsion",50146/4031,Dimpylate,,POM-VPS,Concentrate for dip solution,Ectoparasiticide sheep dip,,,,,
289,Ovidrench S & C 10% w/v Oral Suspension for Cattle and Sheep,50146/4032,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
1001,Maximec 5 mg/ml Pour-On Solution for Cattle,50146/4044,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
431,Coxevac suspension for injection for cattle and goats,EU/2/10/110/001-002 ,Coxiella burnetii,,POM-V,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
903,BTVPUR Suspension for Injection for Sheep and Cattle,EU/2/10/113/001-050,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
