id,field_id,pasturetype_id
253,7c17d391-5d8a-4f03-98e3-c4c334830e23,5
265,c18ab7ff-c1d9-4510-872c-8e46dc8ddcd7,5
267,e9e94533-3720-459d-b1f0-7a63f334d433,3
271,b7970503-3296-43d1-8197-4bda0073aff1,2
293,16ca937d-98c1-499a-a0b3-02063f86953f,2
295,e2c40f2a-1686-4d3e-a0fc-259eb2d77854,5
298,bed978d9-d486-4d9e-877a-5a2592327b1c,5
313,4e672a2d-fa2d-4968-885b-5cacb4a2785b,3
315,d0a616e6-7121-4cf9-baf4-a6bb5c1c0a8e,2
317,a3825c04-4a97-45ad-99f7-cffbb6b6f8af,2
318,b57f59a6-e810-454b-8b7c-eb8fbf3f71b2,2
327,575f9d62-b4c0-472e-8175-ef64002b82e4,5
331,a17d989d-f35a-4f09-b618-6fbb7c4a822f,4
333,fdb6bd34-b5f3-4385-8300-4ff2daa558d7,5
334,038a9e27-70a5-43dd-bbdb-e7ad25d2599f,5
343,f900e760-2bae-4d2e-9525-887025e36d35,5
349,154b2d0d-fd62-4e52-a265-beddfc23ee19,5
357,e7129062-1961-4c19-8c81-defa79288edb,2
373,2b356ce1-d29d-40f8-97a7-52a340afb481,2
377,366d9352-b291-4950-8466-228305df215c,2
386,4b2cd85c-0eef-4fa4-9f20-0f9010d82845,6
387,64233903-4cb2-4fb6-b972-e103da15d36f,2
388,19ea7aed-b3cb-4092-8c19-d1aebc5298de,2
390,b5d7d6ee-b8d7-4352-b5bb-23481825f4db,6
397,53d54b67-79af-4089-af16-c64a9b42ff73,2
401,87998f52-bff5-4bad-bb0e-c31ff729cc54,5
402,500f8eb8-6a0a-4c6a-b9e4-8b5ba0a6a92b,5
403,71b83ce1-ce93-4b2f-b4f6-c0f3d899b7e2,2
780,a3907447-c0c5-449e-8b6d-efa7df5291e9,2
414,e0abbd3c-cf8c-4cc3-bdcd-930c99b62c06,4
419,ee26c2c2-aa4b-4e07-833f-ee292884fe5a,4
425,971bd0d9-8507-4554-92aa-327577a5dc84,5
440,db209166-4ee4-4fdf-84b6-dfce51e37d28,4
441,709e816c-9cee-4f1f-88a3-2a0da33ad013,5
1974,a1eac0b7-c47b-4097-94c1-24bdfa0d7c09,5
473,3b6ee1ec-17df-4f1c-8050-81b3b1cbfc82,6
507,89f01228-a204-49be-be9b-c929fa9202ea,6
512,71dbcc9d-2c9c-438a-965f-f7666386e69c,6
514,dfc4cbc6-6350-4cb4-ad7c-d6eeba3ff594,2
525,2e9d63f9-a487-497c-ac26-55dbd25c37b0,3
537,e46b9eec-1ed6-47e0-af05-b69c067b8e11,5
538,e46b9eec-1ed6-47e0-af05-b69c067b8e11,6
542,bcc8b854-decb-465b-a899-7569c284dadf,5
547,a4fba14b-e260-4869-8e35-d6f720b59c29,5
573,7bb98967-2d91-4e9b-b9c3-6a6933f74adc,5
581,85b8c324-5898-4aae-be6b-6cf341fafeed,5
588,37a43a86-8d40-4e1d-bf1a-aac040c74c03,5
591,a6e2ca54-23f9-43f3-ae31-0204f49529b2,5
597,1ee196b7-4940-4180-9b35-a213d2159a71,5
600,0e265741-d69d-42ad-8a25-344170aa8ffc,5
611,4bff6073-01bb-44dc-a82c-04c242d9d104,2
614,30bb09f7-d7c5-4bcd-a268-337ac45af78a,2
622,5c833342-960a-457f-92cf-970de0fdc0eb,2
626,7ecdc521-21e5-4eab-8ee8-104aca41f40d,5
629,28a54359-3431-4fb2-8e54-489e2a54ffeb,5
632,0014db47-858b-41e5-97eb-cc9b790e88fa,6
646,a019046a-53f6-4788-b193-64eee401493a,5
647,9fdc5de8-4428-440e-a706-43f656a3fe03,5
648,2be39f83-89d4-4870-b437-d4d2fe0e359f,5
662,84f8813d-35ee-4fc1-87b9-e21ae96f563b,5
