animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
5f016f6c-a237-4a6c-bb28-f32d7352bb5b,,,,,,,,B-2308-GB037K-5YQN5J,
df4ce676-0f0a-4475-a75e-5d8119557b56,,,,,,,,B-230B-GB037K-94ZL52,
8bffb12d-d155-42f0-aed6-042570d8bcd7,,,,,,,,B-230Q-GB037K-M5BDGN,
534fbf9d-f759-4dbf-be3d-7fae26224280,,,,,,,,B-230Y-GB037K-0S15M7,
56cca363-99cb-4baf-a152-204e2c98860f,,,,,,,,B-230B-GB037K-P36LWS,
8f780568-89e4-445b-a650-d63a53796cb1,,,,,,,,B-230N-GB037K-DJNDD6,
4c8610c6-8f50-4673-9e16-e74aaccd83ec,,,,,,,,B-230D-GB037K-JYY4L5,
76bd650b-ee38-480f-adbf-158e59b02bbc,,,,,,,,B-230Z-GB037K-88GN52,
9af8f6ea-f849-467f-852a-906c756939c5,,,,,,,,B-230V-GB037K-ZD4R69,
6ece9069-1934-4c92-8796-7040873a14ee,,,,,,,,B-2307-GB037K-CV2PRF,
1f7500c8-97d2-44bd-929f-d86b87ef22a5,,,,,,,,B-230S-GB037K-WWDHDN,
ee1e2dbd-712f-458e-a702-71ffc90b1ea6,,,,,,,,B-230Q-GB037K-WX7ZL1,
fa418f80-2698-4884-bfa5-2b65b466f90f,,,,,,,,B-230Z-GB037K-0VS4CR,
966d5a86-1e7d-484c-a63e-ee9ec060e269,,,,,,,,B-230R-GB037K-57QVF8,
47d0b5d2-80dc-49ef-b8e6-a69628b876d3,,,,,,,,B-2309-GB037K-D8Z01J,
80d161ce-1387-4198-85dc-79933f2d6cdd,,,,,,,,B-2309-GB037K-ZYHK52,
468d9197-2e40-46dd-854d-47353c0a66af,,,,,,,,B-230N-GB037K-2VC0TG,
d87278e0-1e2b-4a28-8d73-9af8b7303792,,,,,,,,B-230F-GB037K-VJM244,
9b006116-8236-457d-871d-e3f3c3130322,,,,,,,,B-230N-GB037K-71PSHB,
ecb70459-bb72-409e-92be-5b173681bbf8,,,,,,,,B-230X-GB037K-T44RX2,
c013ae96-185e-4e28-ab6f-21771bbfe978,,,,,,,,B-230K-GB037K-KQDBKX,
dd0505d0-0385-425e-9e57-9a586916f1df,,,,,,,,B-2301-GB037K-WR9ZQB,
756cb43f-663a-4181-ac7e-22d3b4fb3671,,,,,,,,B-2300-GB037K-5FW7JP,
94ae49e1-2054-4804-8a04-743ee2855d09,,,,,,,,B-2304-GB037K-86F25X,
514a09a0-717a-4891-97c9-d8fffd0163ce,,,,,,,,B-2305-GB037K-388LCH,
