id,lot_number,kill_number,centre_name,centre_number,kill_date,side_1_weight,side_2_weight,carcass_cold_weight,condemned_weight,price,condition,buyer,conformation,european_category,animal_id,hot_weight,fat_class,grading,note,value,killsheet_upload_id
33782,2,7 - 002194,,,2023-03-16,,,300.4,,,,CENTRE NAME C,O+,,b6f9888b-3cdd-4836-9eaf-8547b5545a71,,4L,O+4L,,,
35049,18,2 - 005582  H,,,2023-04-25,,,296.2,,,,CENTRE NAME C,4L,,94e6e067-695a-4884-b9f2-ccd1b6d78a72,,R,R4L,,,
33372,3,7 - 000224,,,2023-03-09,,,300.9,6.1,,,CENTRE NAME C,4L,,47d0b5d2-80dc-49ef-b8e6-a69628b876d3,,O+,O+4L,,,
44112,9.0,7 - 009597,,,2024-04-02,,,227.2,,,,CENTRE NAME B,-O,,fd5a7845-2b68-403b-b2ac-31b26a2cf779,,4L,-O4L,,,
44124,9.0,7 - 009609,,,2024-04-02,,,301.9,,,,CENTRE NAME B,-O,,3e8f638b-9280-49e7-82e8-bb295905f0dd,,O3,-O3,,,
44143,43,7 - 006587,,,2024-02-13,,,250.9,,,,CENTRE NAME A,O+,,2beefdc0-2da5-4ae5-9880-8b20ff078794,,4L,O+4L,,,
44162,25,7 - 005476,,,2024-04-23,,,220.5,,,,CENTRE NAME A,P+,,9af8f6ea-f849-467f-852a-906c756939c5,,+1,P+1,,,
44163,25,7 - 005477,,,2024-04-23,,,251.4,,,,CENTRE NAME A,-O,,96b9f38e-c600-4cc4-ae8b-025b579bb6af,,4L,-O4L,,,
44166,25,7 - 005481,,,2024-04-23,,,244.6,,,,CENTRE NAME A,-O,,dbe16846-6952-4102-bf02-b1c8c8321952,,O3,-O3,,,
33350,3,7 - 000198  SAA,,,2023-03-09,,,279.7,5.7,,,CENTRE NAME A,O+,,307b6a1b-c728-4bcc-acf4-136f654b4c79,,3,O+3,,,
33365,3,7 - 000213  SAA,,,2023-03-09,,,325.6,6.6,,,CENTRE NAME A,O+,,abc94438-9ef6-47a6-9647-2a4c0111fe99,,4H,O+4H,,,
33393,3,7 - 000247  H,,,2023-03-09,,,278.1,5.7,,,CENTRE NAME A,O+,,9a9b9363-b686-4e83-98f9-b10345d17857,,4H,O+4H,,,
33401,3,7 - 000257  S,,,2023-03-09,,,313.4,6.4,,,CENTRE NAME A,O+,,599b5295-1660-48f7-8b1b-61494fe7fb8f,,4L,O+4L,,,
33423,3,7 - 000275  SAA,,,2023-03-09,,,290.9,5.9,,,CENTRE NAME A,O+,,a10fd2a0-c2de-43e9-b168-f9f1dd50e9a3,,4L,O+4L,,,
33428,3,7 - 000278  HAA,,,2023-03-09,,,306.0,6.2,,,CENTRE NAME C,4L,,aaef8b89-3f92-4e01-af76-a83fcecfe24d,,R,R4L,,,
33459,3,7 - 000305  HAA,,,2023-03-09,,,313.6,6.4,,,CENTRE NAME A,O+,,73aac93a-bd7f-4e42-8843-5b6fa9356360,,4H,O+4H,,,
33468,2,7 - 000320  H,,,2023-03-16,,,276.2,5.6,,,CENTRE NAME C,4H,,576abf73-7ebd-4b36-82cd-13dcc5ae96a2,,O+,O+4H,,,
33702,2,7 - 002014,,,2023-03-16,,,275.8,,,,CENTRE NAME C,O+,,e145607d-f135-4900-a295-61773942a02c,,4L,O+4L,,,
33717,2,7 - 002027,,,2023-03-16,,,263.0,,,,CENTRE NAME C,O+,,dbcd1a04-4d70-4bdb-8b2a-185d6ecf5849,,4L,O+4L,,,
33785,2,7 - 002202,,,2023-03-16,,,276.4,,,,CENTRE NAME C,O+,,10fc5193-b249-4c70-9526-c316b8991d10,,4L,O+4L,,,
44103,9.0,7 - 009589,,,2024-04-02,,,231.4,,,,CENTRE NAME B,-O,,21d3b7c7-03e3-4738-a154-50b6eb3355c0,,4L,-O4L,,,
44105,9.0,7 - 009591,,,2024-04-02,,,297.2,,,,CENTRE NAME B,-O,,c415e974-0993-4a38-af16-caf9c7330113,,O3,-O3,,,
44107,9.0,7 - 009593,,,2024-04-02,,,245.6,,,,CENTRE NAME B,-O,,429ecd7c-7c76-4a7e-8ea2-a84b6db136b4,,4L,-O4L,,,
44111,9.0,7 - 009596,,,2024-04-02,,,250.8,,,,CENTRE NAME B,-O,,ead07cf1-8194-478d-a480-be209599e95e,,O3,-O3,,,
44127,9.0,7 - 009612,,,2024-04-02,,,271.4,,,,CENTRE NAME B,-O,,6d2b90b8-67d7-428d-b09b-58f9a61f56eb,,O3,-O3,,,
44158,25,7 - 005468,,,2024-04-23,,,278.3,,,,CENTRE NAME A,-O,,5a9c9653-08d2-47df-b6b0-475855d5267a,,O3,-O3,,,
44172,25,7 - 005490,,,2024-04-23,,,214.2,,,,CENTRE NAME A,-O,,366a60c1-30e1-4940-bf1d-c16f4fe91684,,O3,-O3,,,
44173,25,7 - 005491,,,2024-04-23,,,226.4,,,,CENTRE NAME A,-O,,8647de4f-acec-43b4-b80a-7d367b40d2d1,,O3,-O3,,,
33353,3,7 - 000204  HAA,,,2023-03-09,,,274.0,5.6,,,CENTRE NAME A,O+,,24961180-84c7-4b60-b86d-37c01b72f9b5,,4L,O+4L,,,
33357,3,7 - 000206  SAA,,,2023-03-09,,,291.0,6.0,,,CENTRE NAME A,O+,,acf4d7a0-71c0-47df-816c-f329c66d204b,,4L,O+4L,,,
33461,3,7 - 000313  S,,,2023-03-09,,,314.4,6.4,,,CENTRE NAME A,O+,,c794a9a4-3712-45b8-9e13-539e9cc461f8,,4L,O+4L,,,
33723,2,7 - 002037,,,2023-03-16,,,266.4,,,,CENTRE NAME C,O+,,62b6642f-bab9-4187-baa2-c34c32f0da99,,3,O+3,,,
33798,2,7 - 002217,,,2023-03-16,,,289.0,,,,CENTRE NAME C,R,,f28c4440-3b18-4b5e-aa84-6d1c706b75bb,,3,R3,,,
33794,2,7 - 002207  HAA,,,2023-03-16,,,281.8,,,,CENTRE NAME C,4L,,7a6f5768-be48-4a27-a956-c1582edef8bd,,R,R4L,,,
33807,2,7 - 002228  H,,,2023-03-16,,,254.8,,,,CENTRE NAME C,4L,,ee6baaff-0973-4bbd-950a-25e1b8fd9ffc,,O+,O+4L,,,
35043,18,2 - 005574  H,,,2023-04-25,,,299.5,,,,CENTRE NAME C,4H,,d135f560-fce2-4697-8472-475fa113bfa5,,O+,O+ 4H,,,
33431,3,7 - 000281  S,,,2023-03-09,,,290.6,6.0,,,CENTRE NAME C,4L,,bd6b975e-0547-43f2-9e62-c8459e257806,,O+,O+4L,,,
44108,9.0,7 - 009594,,,2024-04-02,,,241.8,,,,CENTRE NAME B,O+,,6e05d9d5-6117-4125-9f4f-e822e8849b14,,+3,O+3,,,
