Unique Ref,Tranche,Level 1,Level 2,Level 3,Level 4,Complex Type,Attribute,Description,Mandatory ?,Data Type,Accepted Values,Validation,Drop-Down/Metaval
830,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,SCODE,Insurers scheme code ,,varchar ( 255 ),,,
831,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,SENDOR,Overriding system endorsements ,,varchar ( 255 ),,,
832,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,SEX,Male/Female,,varchar ( 255 ),,,
833,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,TAGGED,Is the pet electronically chipped or tagged (Yes or No) ,,varchar ( 255 ),,,
834,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,TAGNO,Micro chip number ,,varchar ( 255 ),,,
835,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,TYPE,Pet type I.E Cat Dog etc,,varchar ( 255 ),,,
836,POLICY,Pet,Risk Data,n/a,n/a,Risk Data,VOLXS,Voluntary excess applicable to any claim,,varchar ( 255 ),,,
837,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
838,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
839,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
840,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Client,Client reference for the policy,,int ( 4 ),,,
841,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
842,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
843,CLIENT,Pet,Marketing,n/a,n/a,Marketing,Line,,,int ( 4 ),,,
844,CLIENT,Pet,Marketing,n/a,n/a,Marketing,MCODE,Marketing code ,,varchar ( 255 ),,,
845,CLIENT,Pet,Marketing,n/a,n/a,Marketing,MCODED,Marketing code description (Adjacent to the4 letter marketing code in CDL ),,varchar ( 255 ),,,
846,CLIENT,Pet,Marketing,n/a,n/a,Marketing,MDISC,,,varchar ( 255 ),,,
847,CLIENT,Pet,Marketing,n/a,n/a,Marketing,MDISCP,Discount percentage applied for marketing promotions,,varchar ( 255 ),,,
848,CLIENT,Pet,Marketing,n/a,n/a,Marketing,MPREM,TBC,,varchar ( 255 ),,,
849,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
850,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
851,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
852,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Client,Client reference for the policy,,int ( 4 ),,,
853,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
854,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
855,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,Line,,,int ( 4 ),,,
856,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,ECODE,System endorsment code ,,varchar ( 255 ),,,
857,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,EDESC,Description of the policy endorsment,,varchar ( 255 ),,,
858,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,EDRVRS,N/A,,varchar ( 255 ),,,
859,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,ETCODE,N/A,,varchar ( 255 ),,,
860,POLICY,Pet,Endorsements,n/a,n/a,Endorsements,EVAL,Endorsment value,,varchar ( 255 ),,,
861,POLICY,Pet,Ailments,n/a,n/a,Ailments,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
862,POLICY,Pet,Ailments,n/a,n/a,Ailments,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
863,POLICY,Pet,Ailments,n/a,n/a,Ailments,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
864,POLICY,Pet,Ailments,n/a,n/a,Ailments,Client,Client reference for the policy,,int ( 4 ),,,
865,POLICY,Pet,Ailments,n/a,n/a,Ailments,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
866,POLICY,Pet,Ailments,n/a,n/a,Ailments,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
867,POLICY,Pet,Ailments,n/a,n/a,Ailments,Line,,,int ( 4 ),,,
868,POLICY,Pet,Ailments,n/a,n/a,Ailments,AILCOST,Ailment/Claim costs,,varchar ( 255 ),,,
869,POLICY,Pet,Ailments,n/a,n/a,Ailments,AILDATE,Date ailment occurred ,,varchar ( 255 ),,,
870,POLICY,Pet,Ailments,n/a,n/a,Ailments,AILDESC,Description of ailment/condition ,,varchar ( 255 ),,,
871,POLICY,Pet,Ailments,n/a,n/a,Ailments,AILMENT,Numerical code relating to the ailement/condition,,varchar ( 255 ),,,
872,POLICY,Pet,Ailments,n/a,n/a,Ailments,AILMENTNO,Relates to the listed number of pet ailments on the policy record,,varchar ( 255 ),,,
873,POLICY,Pet,Ailments,n/a,n/a,Ailments,ASTATUS,Letter denoting the status of the ailment,,varchar ( 255 ),,,
874,POLICY,Pet,Ailments,n/a,n/a,Ailments,ASTATUSD,Description for the status of the  ailment example shown opposite,,varchar ( 255 ),,,
875,POLICY,Pet,Ailments,n/a,n/a,Ailments,CSTATUS,Status of the claim identified by letter,,varchar ( 255 ),,,
876,POLICY,Pet,Ailments,n/a,n/a,Ailments,CSTATUSD,Description for the status of the  claim,,varchar ( 255 ),,,
877,POLICY,Pet,Ailments,n/a,n/a,Ailments,CURRPOL,Did the claim occur during the current policy term,,varchar ( 255 ),,,
878,POLICY,Pet,Ailments,n/a,n/a,Ailments,DETAILS1,Free format additional claim details ,,varchar ( 255 ),,,
879,POLICY,Pet,Ailments,n/a,n/a,Ailments,DETAILS2,Free format additional claim details ,,varchar ( 255 ),,,
880,POLICY,Pet,Ailments,n/a,n/a,Ailments,DETAILS3,Free format additional claim details ,,varchar ( 255 ),,,
881,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Key,Branch RefPolicy Line Number,,varchar ( 255 ),,,
882,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Date,Extract date of the transaction performed on CDL,,datetime ( 8 ),,,
883,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Bran,Branch name (Identified by letter),,varchar ( 255 ),,,
884,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Client,Client reference for the policy,,int ( 4 ),,,
885,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Ref,Client number & line number (I.E 123456- 1),,int ( 4 ),,,
886,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Sect,CDL number; Relates to the screen section being viewed,,int ( 4 ),,,
887,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,Line,,,int ( 4 ),,,
888,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,CALCCODE,Data lines contained in the premium calculations ,,varchar ( 255 ),,,
889,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,CALCDESC,Description of the data field being calculated,,varchar ( 255 ),,,
890,POLICY,Pet,Premium Breakdown,n/a,n/a,Premium Breakdown,CALCVAL,Breakdown calculation of the premium amount by category I.E IPT relates to the Inusrance premium tax field.,,varchar ( 255 ),,,
